protection,BC,CE,CC,CJ,CR,DL,DC,DS,DV,CH,LB,LM,LV,MU,MS,MH,OM,OV,PA,PP,PSD,SS,SO,SAT,SC,SAU,SPOC,SY,TL,ADS,TS,NTS,TSabove,TSabove2,TSbelow,DSabove,DVabove,MUabove,otherTSabove2,DSbelow,DVbelow,OVbelow,otherTSbelow
Y,0.0,7.9,0.0,262.4,13.2,973.8,0.0,590.1,305.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,0.0,0.0,0.0,0.0,2394.3,2080.5,313.7,1562.0,1773.5,107.0,491.8,96.5,0.0,1185.3,0.0,107.0,0.0,0.0
Y,0.0,0.0,0.0,86.0,0.0,0.0,0.0,1519.2,87.1,0.0,198.4,0.0,0.0,0.0,0.0,0.0,0.0,737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2627.8,2343.4,284.4,1036.7,1036.7,737.0,949.5,87.1,0.0,0.0,0.0,0.0,737.0,0.0
Y,0.0,0.0,0.0,113.0,0.0,0.0,520.5,1144.3,0.0,0.0,0.0,0.0,1461.4,0.0,0.0,0.0,196.7,0.0,0.0,46.2,0.0,0.0,0.0,0.0,0.0,0.0,329.9,0.0,0.0,3812.1,3699.1,113.0,2744.8,2941.6,376.1,762.9,0.0,0.0,2178.7,0.0,0.0,0.0,376.1
Y,0.0,0.0,0.0,307.0,0.0,0.0,0.0,963.7,290.1,0.0,0.0,0.0,0.0,2135.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1467.3,0.0,0.0,150.3,0.0,0.0,0.0,0.0,3846.2,3389.0,457.3,2613.8,2613.8,549.2,400.2,78.4,2135.2,0.0,443.0,106.2,0.0,0.0
Y,0.0,0.0,0.0,28.2,0.0,0.0,2446.2,322.2,32.5,0.0,0.0,0.0,0.0,462.0,0.0,0.0,324.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3615.3,3587.1,28.2,3230.4,3554.6,32.5,322.2,0.0,462.0,2770.5,0.0,32.5,0.0,0.0
Y,0.0,0.0,0.0,40.6,20.1,5791.6,560.4,2042.9,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.3,0.0,0.0,0.0,0.0,8544.1,8406.2,137.9,6172.5,6172.5,11.4,1751.0,0.0,0.0,4421.4,0.0,11.4,0.0,0.0
Y,0.0,0.0,0.0,262.2,15.4,0.0,0.0,1545.3,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.6,0.0,0.0,0.0,0.0,0.0,135.8,0.0,0.0,0.0,0.0,2063.2,1649.8,413.4,1390.8,1390.8,104.4,1390.8,0.0,0.0,0.0,0.0,19.9,0.0,84.6
Y,0.0,0.0,0.0,91.3,0.0,0.0,0.0,667.3,89.9,0.0,1543.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.1,0.0,0.0,0.0,0.0,2453.7,757.2,1696.6,444.8,444.8,89.9,444.8,0.0,0.0,0.0,0.0,89.9,0.0,0.0
Y,0.0,0.0,0.0,178.9,0.0,0.0,0.0,2144.1,301.5,0.0,0.0,0.0,2349.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.1,0.0,0.0,0.0,0.0,5070.4,4795.4,275.0,3723.4,3723.4,0.0,1072.1,301.5,0.0,2349.8,0.0,0.0,0.0,0.0
Y,0.0,0.0,0.0,372.7,0.0,2291.1,0.0,3628.9,136.1,0.0,390.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.9,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,81.9,0.0,7279.8,6263.9,1015.9,3624.7,3624.7,0.0,989.7,136.1,0.0,2498.9,0.0,0.0,0.0,0.0
